Depth (m),Litho (Euc),Calcarenite (%),Calcilutite (%),Fine Sand (%),Claystone (%),Sandstone (%),Argillaceous Siltstone (%),Calcareous Claystone (%),Silty Claystone (%),Argillaceous Sandstone (%),Dolomitic Calcarenite (%),Argillaceous Calcilutite (%)
3540,Silty Claystone,-999.25,-999.25,-999.25,-999.25,-999.25,20,-999.25,60,20,-999.25,-999.25
3550,Silty Claystone,-999.25,-999.25,-999.25,-999.25,-999.25,10,-999.25,80,10,-999.25,-999.25
3560,Silty Claystone,-999.25,-999.25,-999.25,-999.25,-999.25,20,-999.25,60,20,-999.25,-999.25
3570,Silty Claystone,-999.25,-999.25,-999.25,-999.25,-999.25,10,-999.25,80,10,-999.25,-999.25
3580,Silty Claystone,-999.25,-999.25,-999.25,-999.25,-999.25,20,-999.25,60,20,-999.25,-999.25
3590,Silty Claystone,-999.25,-999.25,-999.25,-999.25,-999.25,20,-999.25,60,20,-999.25,-999.25
3600,Silty Claystone,-999.25,-999.25,-999.25,-999.25,-999.25,10,-999.25,80,10,-999.25,-999.25
3610,Silty Claystone,-999.25,-999.25,-999.25,-999.25,-999.25,10,-999.25,80,10,-999.25,-999.25
3620,Silty Claystone,-999.25,-999.25,-999.25,-999.25,-999.25,10,-999.25,80,10,-999.25,-999.25
3630,Silty Claystone,-999.25,-999.25,-999.25,-999.25,-999.25,20,-999.25,80,-999.25,-999.25,-999.25
3640,Argillaceous Sandstone,-999.25,-999.25,-999.25,-999.25,-999.25,20,-999.25,80,-999.25,-999.25,-999.25
3650,Argillaceous Siltstone,-999.25,-999.25,-999.25,-999.25,-999.25,10,-999.25,90,-999.25,-999.25,-999.25
3660,Silty Claystone,-999.25,-999.25,-999.25,-999.25,-999.25,20,-999.25,80,-999.25,-999.25,-999.25
3670,Silty Claystone,-999.25,-999.25,-999.25,-999.25,-999.25,10,-999.25,90,-999.25,-999.25,-999.25
