 

WOODSIDE ENERGY VAULT
SRA-01 - SRA01 Definitive Survey

Western Australia
GWF-2 Development
SRA Manifold
Your Ref: 


Measured	 	 	Vertical	 	 	Vertical	Dogleg
Depth	Incl.	Azim.	Depth	Northings	Eastings	Section	Rate	
(m)	 	 	(m)	(m)	(m)	(m)	(°/30m)

  4184.86	 87.420	254.000	  2931.18	     -803.02	    -2472.63	  2599.76	   8.01
  4213.69	 89.480	253.240	  2931.96	     -811.15	    -2500.28	  2628.56	   2.28
  4242.05	 89.600	251.830	  2932.18	     -819.66	    -2527.33	  2656.92	   1.50
  4281.50	 89.600	251.830	  2932.46	     -831.96	    -2564.81	  2696.37	   0.00


All data are in meters unless otherwise stated. Directions and coordinates are relative to Grid North.
Vertical depths are relative to RTE.  Northings and Eastings are relative to Well.

The Dogleg Severity is in Degrees per 30 meter.
Vertical Section is from Slot and calculated along an Azimuth of 252.000° (Grid).

Coordinate System is GDA94 Universal Transverse Mercator, Zone 50S (114 E to 120 E).
Central meridian is 117.000°.
Grid Convergence at Surface is 0.432°.

Based upon Minimum Curvature type calculations, at a Measured Depth of 4281.50m.,
the Bottom Hole Displacement is 2696.37m., in the Direction of 252.000° (Grid).

